Items,Condition,Verb,VerbType,Mood,TypeMood,NPI,NPIType,NPIType2,EmbeddedVerb,Group,SentenceNum,ItemNum,Sentence,LN_reading_experiment
Control,NNR+ind,ser consciente,NNR,ind,,no,,,cometer,F,24,4,Gonzalo no era consciente de que Leticia había cometido un error grave ese año.,Gonzalo era consciente de que Leticia no había cometido un error grave ese año.
Critical Item,NR+subj+NPI,opinar,NR,subj,ra,yes,en años,en,arrojar,A,25,5,Gabriela no opinaba que la investigación hubiera arrojado resultados significativos en años.,Gabriela opinaba que la investigación no había arrojado resultados significativos en años.
Critical Item,NR+subj,opinar,NR,subj,ra,no,,,arrojar,B,26,5,Gabriela no opinaba que la investigación hubiera arrojado resultados significativos ese año.,Gabriela opinaba que la investigación no había arrojado resultados significativos ese año.
Control,NNR+subj,asegurar,NNR,subj,ra,no,,,arrojar,C,27,5,Gabriela no aseguraba que la investigación hubiera arrojado resultados significativos ese año.,Gabriela aseguraba que la investigación no había arrojado resultados significativos ese año.
Control,NR+ind+NPI,opinar,NR,ind,,yes,en años,en,arrojar,D,28,5,Gabriela no opinaba que la investigación había arrojado resultados significativos en años.,Gabriela opinaba que la investigación no había arrojado resultados significativos en años.
Critical Item,NR+ind,opinar,NR,ind,,no,,,arrojar,E,29,5,Gabriela no opinaba que la investigación había arrojado resultados significativos ese año.,Gabriela opinaba que la investigación no había arrojado resultados significativos ese año.
Control,NNR+ind,asegurar,NNR,ind,,no,,,arrojar,F,30,5,Gabriela no aseguraba que la investigación había arrojado resultados significativos ese año.,Gabriela aseguraba que la investigación no había arrojado resultados significativos ese año.
Critical Item,NR+subj+NPI,dar la impresión,NR,subj,ra,yes,en años,en,visitar,A,31,6,A Beatriz no le daba la impresión de que Susana hubiera visitado la ciudad en años.,A Beatriz le daba la impresión de que Susana no había visitado la ciudad en años.
Critical Item,NR+subj,dar la impresión,NR,subj,ra,no,,,visitar,B,32,6,A Beatriz no le daba la impresión de que Susana hubiera visitado la ciudad ese año.,A Beatriz le daba la impresión de que Susana no había visitado la ciudad ese año.
Control,NNR+subj,recordar,NNR,subj,ra,no,,,visitar,C,33,6,Beatriz no recordaba que Susana hubiera visitado la ciudad ese año.,Beatriz recordaba que Susana no había visitado la ciudad ese año.
Control,NR+ind+NPI,dar la impresión,NR,ind,,yes,en años,en,visitar,D,34,6,A Beatriz no le daba la impresión de que Susana había visitado la ciudad en años.,A Beatriz le daba la impresión de que Susana no había visitado la ciudad en años.
Critical Item,NR+ind,dar la impresión,NR,ind,,no,,,visitar,E,35,6,A Beatriz no le daba la impresión de que Susana había visitado la ciudad ese año.,A Beatriz le daba la impresión de que Susana no había visitado la ciudad ese año.
Control,NNR+ind,recordar,NNR,ind,,no,,,visitar,F,36,6,Beatriz no recordaba que Susana había visitado la ciudad ese año.,Beatriz recordaba que Susana no había visitado la ciudad ese año.
Critical Item,NR+subj+NPI,pensar,NR,subj,se,yes,en meses,en,escuchar,B,37,7,María no pensaba que Carmen hubiese escuchado esa canción en meses. ,María pensaba que Carmen no había escuchado esa canción en meses.
Critical Item,NR+subj,pensar,NR,subj,se,no,,,escuchar,C,38,7,María no pensaba que Carmen hubiese escuchado esa canción ese mes.,María pensaba que Carmen no había escuchado esa canción ese mes.
Control,NNR+subj,saber,NNR,subj,se,no,,,escuchar,D,39,7,María no sabía que Carmen hubiese escuchado esa canción ese mes. ,María sabía que Carmen no había escuchado esa canción ese mes.
Control,NR+ind+NPI,pensar,NR,ind,,yes,en meses,en,escuchar,E,40,7,María no pensaba que Carmen había escuchado esa canción en meses. ,María pensaba que Carmen no había escuchado esa canción en meses.
Critical Item,NR+ind,pensar,NR,ind,,no,,,escuchar,F,41,7,María no pensaba que Carmen había escuchado esa canción ese mes. ,María pensaba que Carmen no había escuchado esa canción ese mes.
Control,NNR+ind,saber,NNR,ind,,no,,,escuchar,A,42,7,María no sabía que Carmen había escuchado esa canción ese mes. ,María sabía que Carmen no había escuchado esa canción ese mes.
Critical Item,NR+subj+NPI,creer,NR,subj,se,yes,en meses,en,caminar,B,43,8,Laura no creía que Jorge hubiese caminado por ese parque en meses.,Laura creía que Jorge no había caminado por ese parque en meses.
Critical Item,NR+subj,creer,NR,subj,se,no,,,caminar,C,44,8,Laura no creía que Jorge hubiese caminado por ese parque ese mes.,Laura creía que Jorge no había caminado por ese parque ese mes.
Control,NNR+subj,estar seguro,NNR,subj,se,no,,,caminar,D,45,8,Laura no estaba segura de que Jorge hubiese caminado por ese parque ese mes.,Laura estaba segura de que Jorge no había caminado por ese parque ese mes.
Control,NR+ind+NPI,creer,NR,ind,,yes,en meses,en,caminar,E,46,8,Laura no creía que Jorge había caminado por ese parque en meses.,Laura creía que Jorge no había caminado por ese parque en meses.
Critical Item,NR+ind,creer,NR,ind,,no,,,caminar,F,47,8,Laura no creía que Jorge había caminado por ese parque ese mes.,Laura creía que Jorge no había caminado por ese parque ese mes.
Control,NNR+ind,estar seguro,NNR,ind,,no,,,caminar,A,48,8,Laura no estaba segura de que Jorge había caminado por ese parque ese mes.,Laura estaba segura de que Jorge no había caminado por ese parque ese mes.
Critical Item,NR+subj+NPI,parecer,NR,subj,se,yes,en meses,en,aumentar,B,49,9,A Clara no le parecía que el precio del gas hubiese aumentado en meses.,A Clara le parecía que el precio del gas no había subido en meses.
Critical Item,NR+subj,parecer,NR,subj,se,no,,,aumentar,C,50,9,A Clara no le parecía que el precio del gas hubiese aumentado ese mes.,A Clara le parecía que el precio del gas no había subido ese mes.
Control,NNR+subj,resultar evidente,NNR,subj,se,no,,,aumentar,D,51,9,A Clara no le resultaba evidente que el precio del gas hubiese aumentado ese mes.,A Clara le resultaba evidente que el precio del gas no había subido ese mes.
Control,NR+ind+NPI,parecer,NR,ind,,yes,en meses,en,aumentar,E,52,9,A Clara no le parecía que el precio del gas había aumentado en meses.,A Clara le parecía que el precio del gas no había subido en meses.
Critical Item,NR+ind,parecer,NR,ind,,no,,,aumentar,F,53,9,A Clara no le parecía que el precio del gas había aumentado ese mes.,A Clara le parecía que el precio del gas no había subido ese mes.
Control,NNR+ind,resultar evidente,NNR,ind,,no,,,aumentar,A,54,9,A Clara no le resultaba evidente que el precio del gas había aumentado ese mes.,A Clara le resultaba evidente que el precio del gas no había subido ese mes.
Critical Item,NR+subj+NPI,considerar,NR,subj,se,yes,en meses,en,presentar,B,55,10,Sonia no consideraba que Fernando hubiese presentado un informe tan detallado en meses.,Sonia consideraba que Fernando no había presentado un informe tan detallado en meses.
Critical Item,NR+subj,considerar,NR,subj,se,no,,,presentar,C,56,10,Sonia no consideraba que Fernando hubiese presentado un informe tan detallado ese mes.,Sonia consideraba que Fernando no había presentado un informe tan detallado ese mes.
Control,NNR+subj,ser consciente,NNR,subj,se,no,,,presentar,D,57,10,Sonia no era consciente de que Fernando hubiese presentado un informe tan detallado ese mes.,Sonia era consciente de que Fernando no había presentado un informe tan detallado ese mes.
Control,NR+ind+NPI,considerar,NR,ind,,yes,en meses,en,presentar,E,58,10,Sonia no consideraba que Fernando había presentado un informe tan detallado en meses.,Sonia consideraba que Fernando no había presentado un informe tan detallado en meses.
Critical Item,NR+ind,considerar,NR,ind,,no,,,presentar,F,59,10,Sonia no consideraba que Fernando había presentado un informe tan detallado ese mes.,Sonia consideraba que Fernando no había presentado un informe tan detallado ese mes.
Control,NNR+ind,ser consciente,NNR,ind,,no,,,presentar,A,60,10,Sonia no era consciente de que Fernando había presentado un informe tan detallado ese mes.,Sonia era consciente de que Fernando no había presentado un informe tan detallado ese mes.
Critical Item,NR+subj+NPI,opinar,NR,subj,se,yes,en meses,en,mejorar,B,61,11,Gabriela no opinaba que Rodrigo hubiese mejorado su conducta en meses.,Gabriel opinaba que Rodrigo no había mejorado su conducta en meses.
Critical Item,NR+subj,opinar,NR,subj,se,no,,,mejorar,C,62,11,Gabriela no opinaba que Rodrigo hubiese mejorado su conducta ese mes.,Gabriel opinaba que Rodrigo no había mejorado su conducta ese mes.
Control,NNR+subj,asegurar,NNR,subj,se,no,,,mejorar,D,63,11,Gabriela no aseguraba que Rodrigo hubiese mejorado su conducta ese mes.,Gabriel aseguraba que Rodrigo no había mejorado su conducta ese mes.
Control,NR+ind+NPI,opinar,NR,ind,,yes,en meses,en,mejorar,E,64,11,Gabriela no opinaba que Rodrigo había mejorado su conducta en meses.,Gabriel opinaba que Rodrigo no había mejorado su conducta en meses.
Critical Item,NR+ind,opinar,NR,ind,,no,,,mejorar,F,65,11,Gabriela no opinaba que Rodrigo había mejorado su conducta ese mes.,Gabriel opinaba que Rodrigo no había mejorado su conducta ese mes.
Control,NNR+ind,asegurar,NNR,ind,,no,,,mejorar,A,66,11,Gabriela no aseguraba que Rodrigo había mejorado su conducta ese mes.,Gabriel aseguraba que Rodrigo no había mejorado su conducta ese mes.
Critical Item,NR+subj+NPI,dar la impresión,NR,subj,se,yes,en meses,en,teñir,B,67,12,A Miranda no le daba la impresión de que Ignacio se hubiese teñido el pelo en meses.,A Miranda le daba la impresión de que Ignacio no se había teñido el pelo en meses.
Critical Item,NR+subj,dar la impresión,NR,subj,se,no,,,teñir,C,68,12,A Miranda no le daba la impresión de que Ignacio se hubiese teñido el pelo ese mes.,A Miranda le daba la impresión de que Ignacio no se había teñido el pelo ese mes.
Control,NNR+subj,recordar,NNR,subj,se,no,,,teñir,D,69,12,Miguel no recordaba que Ignacio se hubiese teñido el pelo ese mes.,Miranda recordaba que Ignacio no se había teñido el pelo ese mes.
Control,NR+ind+NPI,dar la impresión,NR,ind,,yes,en meses,en,teñir,E,70,12,A Miranda no le daba la impresión de que Ignacio se había teñido el pelo en meses.,A Miranda le daba la impresión de que Ignacio no se había teñido el pelo en meses.
Critical Item,NR+ind,dar la impresión,NR,ind,,no,,,teñir,F,71,12,A Miranda no le daba la impresión de que Ignacio se había teñido el pelo ese mes.,A Miranda le daba la impresión de que Ignacio no se había teñido el pelo ese mes.
Control,NNR+ind,recordar,NNR,ind,,no,,,teñir,A,72,12,Miranda no recordaba que Ignacio se había teñido el pelo ese mes.,Miranda recordaba que Ignacio no se había teñido el pelo ese mes.
Critical Item,NR+subj+NPI,pensar,NR,subj,ra,yes,en meses,en,venir,C,73,13,Antonio no pensaba que Noelia hubiera venido a clase en meses.,Antonio pensaba que Noelia no había venido a clase en meses.
Critical Item,NR+subj,pensar,NR,subj,ra,no,,,venir,D,74,13,Antonio no pensaba que Noelia hubiera venido a clase ese mes.,Antonio pensaba que Noelia no había venido a clase ese mes.
Control,NNR+subj,saber,NNR,subj,ra,no,,,venir,E,75,13,Antonio no sabía que Noelia hubiera venido a clase ese mes.,Antonio sabía que Noelia no había venido a clase ese mes.
Control,NR+ind+NPI,pensar,NR,ind,,yes,en meses,en,venir,F,76,13,Antonio no pensaba que Noelia había venido a clase en meses.,Antonio pensaba que Noelia no había venido a clase en meses.
Critical Item,NR+ind,pensar,NR,ind,,no,,,venir,A,77,13,Antonio no pensaba que Noelia había venido a clase ese mes.,Antonio pensaba que Noelia no había venido a clase ese mes.
Control,NNR+ind,saber,NNR,ind,,no,,,venir,B,78,13,Antonio no sabía que Noelia había venido a clase ese mes.,Antonio sabía que Noelia no había venido a clase ese mes.
Critical Item,NR+subj+NPI,creer,NR,subj,ra,yes,en años,en,leer,C,79,14,Isabel no creía que Francisco hubiera leído una revista tan interesante en años.,Isabel creía que Francisco no había leído una revista tan interesante en años.
Critical Item,NR+subj,creer,NR,subj,ra,no,,,leer,D,80,14,Isabel no creía que Francisco hubiera leído una revista tan interesante ese año.,Isabel creía que Francisco no había leído una revista tan interesante ese año.
Control,NNR+subj,estar seguro,NNR,subj,ra,no,,,leer,E,81,14,Isabel no estaba segura de que Francisco hubiera leído una revista tan interesante ese año.,Isabel estaba segura de que Francisco no había leído una revista tan interesante ese año.
Control,NR+ind+NPI,creer,NR,ind,,yes,en años,en,leer,F,82,14,Isabel no creía que Francisco había leído una revista tan interesante en años.,Isabel creía que Francisco no había leído una revista tan interesante en años.
Critical Item,NR+ind,creer,NR,ind,,no,,,leer,A,83,14,Isabel no creía que Francisco había leído una revista tan interesante ese año.,Isabel creía que Francisco no había leído una revista tan interesante ese año.
Control,NNR+ind,estar seguro,NNR,ind,,no,,,leer,B,84,14,Isabel no estaba segura de que Francisco había leído una revista tan interesante ese año.,Isabel estaba segura de que Francisco no había leído una revista tan interesante ese año.
Critical Item,NR+subj+NPI,parecer,NR,subj,ra,yes,en meses,en,aumentar,C,85,15,A Pablo no le parecía que la venta de abrigos hubiera aumentado en meses.,A Pablo le parecía que la venta de abrigos no había aumentado en meses.
Critical Item,NR+subj,parecer,NR,subj,ra,no,,,aumentar,D,86,15,A Pablo no le parecía que la venta de abrigos hubiera aumentado ese mes.,A Pablo le parecía que la venta de abrigos no había aumentado ese mes.
Control,NNR+subj,resultar evidente,NNR,subj,ra,no,,,aumentar,E,87,15,A Pablo no le resultaba evidente que la venta de abrigos hubiera aumentado ese mes.,A Pablo le resultaba evidente que la venta de abrigos no había aumentado ese mes.
Control,NR+ind+NPI,parecer,NR,ind,,yes,en meses,en,aumentar,F,88,15,A Pablo no le parecía que la venta de abrigos había aumentado en meses.,A Pablo le parecía que la venta de abrigos no había aumentado en meses.
Critical Item,NR+ind,parecer,NR,ind,,no,,,aumentar,A,89,15,A Pablo no le parecía que la venta de abrigos había aumentado ese mes.,A Pablo le parecía que la venta de abrigos no había aumentado ese mes.
Control,NNR+ind,resultar evidente,NNR,ind,,no,,,aumentar,B,90,15,A Pablo no le resultaba evidente que la venta de abrigos había aumentado ese mes.,A Pablo le resultaba evidente que la venta de abrigos no había aumentado ese mes.
Critical Item,NR+subj+NPI,considerar,NR,subj,ra,yes,en meses,en,manejar,C,91,16,Andrea no consideraba que Leticia hubiera manejado bien una situación tan delicada en meses.,Andrea consideraba que Leticia no había manejado bien una situación tan delicada en meses.
Critical Item,NR+subj,considerar,NR,subj,ra,no,,,manejar,D,92,16,Andrea no consideraba que Leticia hubiera manejado bien una situación tan delicada ese mes.,Andrea consideraba que Leticia no había manejado bien una situación tan delicada ese mes.
Control,NNR+subj,ser consciente,NNR,subj,ra,no,,,manejar,E,93,16,Andrea no era consciente que Leticia hubiera manejado bien una situación tan delicada ese mes.,Andrea era consciente de que Leticia no había manejado bien una situación tan delicada ese mes.
Control,NR+ind+NPI,considerar,NR,ind,,yes,en meses,en,manejar,F,94,16,Andrea no consideraba que Leticia había manejado bien una situación tan delicada en meses.,Andrea consideraba que Leticia no había manejado bien una situación tan delicada en meses.
Critical Item,NR+ind,considerar,NR,ind,,no,,,manejar,A,95,16,Andrea no consideraba que Leticia había manejado bien una situación tan delicada ese mes.,Andrea consideraba que Leticia no había manejado bien una situación tan delicada ese mes.
Control,NNR+ind,ser consciente,NNR,ind,,no,,,manejar,B,96,16,Andrea no era consciente de que Leticia había manejado bien una situación tan delicada ese mes.,Andrea era consciente de que Leticia no había manejado bien una situación tan delicada ese mes.
Critical Item,NR+subj+NPI,opinar,NR,subj,ra,yes,en años,en,presentar,C,97,17,Paloma no opinaba que Diego hubiera presentado una propuesta innovadora en años.,Paloma opinaba que Diego no había presentado una propuesta innovadora en años.
Critical Item,NR+subj,opinar,NR,subj,ra,no,,,presentar,D,98,17,Paloma no opinaba que Diego hubiera presentado una propuesta innovadora ese año.,Paloma opinaba que Diego no había presentado una propuesta innovadora ese año.
Control,NNR+subj,asegurar,NNR,subj,ra,no,,,presentar,E,99,17,Paloma no aseguraba que Diego hubiera presentado una propuesta innovadora ese año.,Paloma aseguraba que Diego no había presentado una propuesta innovadora ese año.
Control,NR+ind+NPI,opinar,NR,ind,,yes,en años,en,presentar,F,100,17,Paloma no opinaba que Diego había presentado una propuesta innovadora en años.,Paloma opinaba que Diego no había presentado una propuesta innovadora en años.
Critical Item,NR+ind,opinar,NR,ind,,no,,,presentar,A,101,17,Paloma no opinaba que Diego había presentado una propuesta innovadora ese año.,Paloma opinaba que Diego no había presentado una propuesta innovadora ese año.
Control,NNR+ind,asegurar,NNR,ind,,no,,,presentar,B,102,17,Paloma no aseguraba que Diego había presentado una propuesta innovadora ese año.,Paloma aseguraba que Diego no había presentado una propuesta innovadora ese año.
Critical Item,NR+subj+NPI,dar la impresión,NR,subj,ra,yes,en años,en,organizar,C,103,18,A Miguel no le daba la impresión de que su vecino hubiera organizado una fiesta en años.,A Miguel le daba la impresión de que su vecino no había organizado una fiesta en años.
Critical Item,NR+subj,dar la impresión,NR,subj,ra,no,,,organizar,D,104,18,A Miguel no le daba la impresión de que su vecino hubiera organizado una fiesta ese año.,A Miguel le daba la impresión de que su vecino no había organizado una fiesta ese año.
Control,NNR+subj,recordar,NNR,subj,ra,no,,,organizar,E,105,18,Miguel no recordaba que su vecino hubiera organizado una fiesta ese año.,Miguel recordaba que su vecino no había organizado una fiesta ese año.
Control,NR+ind+NPI,dar la impresión,NR,ind,,yes,en años,en,organizar,F,106,18,A Miguel no le daba la impresión de que su vecino había organizado una fiesta en años.,A Miguel le daba la impresión de que su vecino no había organizado una fiesta en años.
Critical Item,NR+ind,dar la impresión,NR,ind,,no,,,organizar,A,107,18,A Miguel no le daba la impresión de que su vecino había organizado una fiesta ese año.,A Miguel le daba la impresión de que su vecino no había organizado una fiesta ese año.
Control,NNR+ind,recordar,NNR,ind,,no,,,organizar,B,108,18,Miguel no recordaba que su vecino había organizado una fiesta ese año.,Miguel recordaba que su vecino no había organizado una fiesta ese año.
Critical Item,NR+subj+NPI,pensar,NR,subj,se,yes,hasta,hasta,llegar,D,109,19,Javier no pensaba que el invitado fuese a llegar hasta las ocho.,Javier pensaba que el invitado no iba a llegar hasta las ocho.
Critical Item,NR+subj,pensar,NR,subj,se,no,,,llegar,E,110,19,Javier no pensaba que el invitado fuese a llegar a las ocho.,Javier pensaba que el invitado no iba a llegar a las ocho.
Control,NNR+subj,saber,NNR,subj,se,no,,,llegar,F,111,19,Javier no sabía que el invitado fuese a llegar a las ocho.,Javier sabía que el invitado no iba a llegar a las ocho.
Control,NR+ind+NPI,pensar,NR,ind,,yes,hasta,hasta,llegar,A,112,19,Javier no pensaba que el invitado iba a llegar hasta las ocho.,Javier pensaba que el invitado no iba a llegar hasta las ocho.
Critical Item,NR+ind,pensar,NR,ind,,no,,,llegar,B,113,19,Javier no pensaba que el invitado iba a llegar a las ocho.,Javier pensaba que el invitado no iba a llegar a las ocho.
Control,NNR+ind,saber,NNR,ind,,no,,,llegar,C,114,19,Javier no sabía que el invitado iba a llegar a las ocho.,Javier sabía que el invitado no iba a llegar a las ocho.
Critical Item,NR+subj+NPI,creer,NR,subj,se,yes,hasta,hasta,encontrar,D,115,20,Belén no creía que Aurora fuese a encontrar el cuaderno hasta el día siguiente.,Belén creía que Aurora no iba a encontrar el cuaderno hasta el día siguiente.
Critical Item,NR+subj,creer,NR,subj,se,no,,,encontrar,E,116,20,Belén no creía que Aurora fuese a encontrar el cuaderno al día siguiente.,Belén creía que Aurora no iba a encontrar el cuaderno al día siguiente.
Control,NNR+subj,estar seguro,NNR,subj,se,no,,,encontrar,F,117,20,Belén no estaba segura de que Aurora fuese a encontrar el cuaderno al día siguiente.,Belén estaba segura de que Aurora no iba a encontrar el cuaderno al día siguiente.
Control,NR+ind+NPI,creer,NR,ind,,yes,hasta,hasta,encontrar,A,118,20,Belén no creía que Aurora iba a encontrar el cuaderno hasta el día siguiente.,Belén creía que Aurora no iba a encontrar el cuaderno hasta el día siguiente.
Critical Item,NR+ind,creer,NR,ind,,no,,,encontrar,B,119,20,Belén no creía que Aurora iba a encontrar el cuaderno al día siguiente.,Belén creía que Aurora no iba a encontrar el cuaderno al día siguiente.
Control,NNR+ind,estar seguro,NNR,ind,,no,,,encontrar,C,120,20,Belén no estaba segura de que Aurora iba a encontrar el cuaderno al día siguiente.,Belén estaba segura de que Aurora no iba a encontrar el cuaderno al día siguiente.
Critical Item,NR+subj+NPI,parecer,NR,subj,se,yes,hasta,hasta,empezar,D,121,21,A Mercedes no le parecía que la temperatura fuese a empezar a subir hasta febrero.,A Mercedes le parecía que la temperatura no iba a empezar a subir hasta febrero.
Critical Item,NR+subj,parecer,NR,subj,se,no,,,empezar,E,122,21,A Mercedes no le parecía que la temperatura fuese a empezar a subir en febrero.,A Mercedes le parecía que la temperatura no iba a empezar a subir en febrero.
Control,NNR+subj,resultar evidente,NNR,subj,se,no,,,empezar,F,123,21,A Mercedes no le resultaba evidente que la temperatura fuese a empezar a subir en febrero.,A Mercedes le resultaba evidente que la temperatura no iba a empezar a subir en febrero.
Control,NR+ind+NPI,parecer,NR,ind,,yes,hasta,hasta,empezar,A,124,21,A Mercedes no le parecía que la temperatura iba a empezar a subir hasta febrero.,A Mercedes le parecía que la temperatura no iba a empezar a subir hasta febrero.
Critical Item,NR+ind,parecer,NR,ind,,no,,,empezar,B,125,21,A Mercedes no le parecía que la temperatura iba a empezar a subir en febrero.,A Mercedes le parecía que la temperatura no iba a empezar a subir en febrero.
Control,NNR+ind,resultar evidente,NNR,ind,,no,,,empezar,C,126,21,A Mercedes no le resultaba evidente que la temperatura iba a empezar a subir en febrero.,A Mercedes le resultaba evidente que la temperatura no iba a empezar a subir en febrero.
Critical Item,NR+subj+NPI,considerar,NR,subj,se,yes,hasta,hasta,terminar,D,127,22,Pedro no consideraba que el edificio se fuese a terminar hasta el mes de junio.,Pedro consideraba que el edificio no se iba a terminar hasta el mes de junio.
Critical Item,NR+subj,considerar,NR,subj,se,no,,,terminar,E,128,22,Pedro no consideraba que el edificio se fuese a terminar en el mes de junio.,Pedro consideraba que el edificio no se iba a terminar en el mes de junio.
Control,NNR+subj,ser consciente,NNR,subj,se,no,,,terminar,F,129,22,Pedro no era consciente que el edificio se fuese a terminar en el mes de junio.,Pedro era consciente de que el edificio no se iba a terminar en el mes de junio.
Control,NR+ind+NPI,considerar,NR,ind,,yes,hasta,hasta,terminar,A,130,22,Pedro no consideraba que el edificio se iba a terminar hasta el mes de junio.,Pedro consideraba que el edificio no se iba a terminar hasta el mes de junio.
Critical Item,NR+ind,considerar,NR,ind,,no,,,terminar,B,131,22,Pedro no consideraba que el edificio se iba a terminar en el mes de junio.,Pedro consideraba que el edificio no se iba a terminar en el mes de junio.
Control,NNR+ind,ser consciente,NNR,ind,,no,,,terminar,C,132,22,Pedro no era consciente de que el edificio se iba terminar en el mes de junio.,Pedro era consciente de que el edificio no se iba a terminar en el mes de junio.
Critical Item,NR+subj+NPI,opinar,NR,subj,se,yes,hasta,hasta,despegar,D,133,23,Daniel no opinaba que el avión fuese a despegar hasta las seis.,Daniel opinaba que el avión no iba a despegar hasta las seis.
Critical Item,NR+subj,opinar,NR,subj,se,no,,,despegar,E,134,23,Daniel no opinaba que el avión fuese a despegar a las seis.,Daniel opinaba que el avión no iba a despegar a las seis.
Control,NNR+subj,asegurar,NNR,subj,se,no,,,despegar,F,135,23,Daniel no aseguraba que el avión fuese a despegar a las seis.,Daniel aseguraba que el avión no iba a despegar a las seis.
Control,NR+ind+NPI,opinar,NR,ind,,yes,hasta,hasta,despegar,A,136,23,Daniel no opinaba que el avión iba a despegar hasta las seis.,Daniel opinaba que el avión no iba a despegar hasta las seis.
